method,evaluation_domain,dimension,level,samples,devices,device_macro_mae,point_mae,rmse,bias,p90_absolute_error,worst_device_mae
v10_only,v15,lifetime_quartile,Q1,2844,80,29.510284423828125,29.191429138183594,38.25908062686134,15.767904453305258,73.77987136840822,81.43035125732422
v10_only,v15,lifetime_quartile,Q2,4003,80,29.514617919921875,29.48843002319336,36.02814282995541,14.530475568491545,61.71353607177735,69.16941833496094
v10_only,v15,lifetime_quartile,Q3,5029,80,30.50542640686035,30.432817459106445,35.31666533451998,13.736731456499841,54.040435791015625,55.345333099365234
v10_only,v15,lifetime_quartile,Q4,6371,80,25.664958953857422,25.595396041870117,30.655721358908487,1.4059499567801126,46.092153549194336,42.9999885559082
v15_only,v10,overall,all,22185,320,13.432116508483887,14.610629081726074,19.25065596850443,-9.103474258716938,32.351663208007814,40.530826568603516
v15_only,v10,cycle,7-15,2880,320,20.645910263061523,20.645912170410156,25.873943256405166,-14.790687872634994,42.537220001220696,79.2942123413086
v15_only,v10,rul,>60,3674,210,24.020275115966797,30.924379348754883,34.50917607716501,-30.659586200132665,50.75547294616699,57.705543518066406
v15_only,v10,mode,long_no_knee,10015,118,18.39227867126465,19.3375301361084,24.007082141246045,-18.842436805974526,39.33247261047364,40.530826568603516
v15_only,v10,mode,regular_no_knee,7668,133,9.733777046203613,9.432220458984375,11.797359636422673,1.7264654944006141,19.153012466430667,30.580488204956055
v15_only,v10,mode,late_knee,4502,69,12.078205108642578,12.915416717529297,17.52214921006376,-5.884520041951202,30.206615829467776,35.65883255004883
v15_only,v10,lifetime_quartile,Q1,3938,80,11.543601989746094,11.152027130126953,13.613740635456894,9.385044647086508,21.6769817352295,30.580488204956055
v15_only,v10,lifetime_quartile,Q2,5006,80,8.088610649108887,8.08432388305664,10.236744784372867,-1.8575109679414137,16.6100754737854,16.460283279418945
v15_only,v10,lifetime_quartile,Q3,5869,80,11.393217086791992,11.463849067687988,14.723109888103322,-9.85095038829274,25.35,22.531593322753906
v15_only,v10,lifetime_quartile,Q4,7372,80,22.70303726196289,23.39510154724121,27.793805958340165,-23.305067080230216,44.76085796356201,40.530826568603516
v15_only,v15,overall,all,18247,320,9.975743293762207,10.293256759643555,13.126867469389504,-2.833955796727576,21.638957977294925,27.349021911621094
v15_only,v15,cycle,7-15,2880,320,13.7329683303833,13.7329683303833,17.08075112050395,-4.083417226870854,28.51365547180176,41.9401741027832
v15_only,v15,rul,>60,1711,126,19.5919132232666,22.727649688720703,24.42595521010871,-22.0308567194267,33.93679428100586,38.848995208740234
v15_only,v15,mode,long_no_knee,3828,48,15.136409759521484,15.326789855957031,18.188959332500723,-14.832875413551797,28.67423458099365,24.44781494140625
v15_only,v15,mode,regular_no_knee,9671,205,8.873969078063965,8.368680000305176,10.389535617534584,4.0985170566928435,16.689085006713867,27.349021911621094
v15_only,v15,mode,early_knee,2141,32,7.925865173339844,8.268906593322754,10.728021817931761,-3.8324970353267727,18.136260986328125,18.631135940551758
v15_only,v15,mode,late_knee,2607,35,11.225677490234375,11.704209327697754,15.011267042485693,-10.112131431704515,25.403892135620122,22.919708251953125
v15_only,v15,lifetime_quartile,Q1,2844,80,11.663493156433105,11.468073844909668,13.421736936026644,11.03960705474124,20.07745990753174,27.349021911621094
v15_only,v15,lifetime_quartile,Q2,4003,80,6.943842887878418,6.872648239135742,8.537344822060515,3.878363151059519,13.750862503051758,16.78241729736328
v15_only,v15,lifetime_quartile,Q3,5029,80,6.965020656585693,7.003613471984863,8.89764283838397,-1.9830033175156874,14.334568023681635,15.659448623657227
v15_only,v15,lifetime_quartile,Q4,6371,80,14.330615043640137,14.514750480651855,17.459052958029737,-13.916245157193066,27.979812622070312,24.44781494140625
